"dim","iso","year","quarter","techq","eu","median1st","median2nd","pres","GOV_POS","govmin","govmax","VP_RANGE","VP_RANGE_EU","minoritygov"
"LR",36,1961,4,4,,6.4664,6.4664,,6.4664,6.4664,7.5116,1.0451,1.0451,0
"LR",36,1961,5,5,,6.5686,6.5686,,6.5686,6.5686,7.2999,0.7313,0.7313,0
"LR",36,1961,6,6,,6.6708,6.6708,,6.6708,6.6708,7.0883,0.4174,0.4174,0
"LR",36,1961,7,7,,6.773,6.773,,6.773,6.773,6.8766,0.1036,0.1036,0
"LR",36,1962,8,8,,6.1295,6.1295,,6.1964,6.1295,6.2217,0.0923,0.0923,0
"LR",36,1962,9,9,,5.3824,5.3824,,5.5914,5.3824,5.6704,0.2881,0.2881,0
"LR",36,1962,10,10,,4.6352,4.6352,,4.9865,4.6352,5.1191,0.4839,0.4839,0
"LR",36,1962,11,11,,3.8881,3.8881,,4.3815,3.8881,4.5678,0.6797,0.6797,0
"LR",36,1963,12,12,,3.141,3.141,,3.7765,3.141,4.0165,0.8756,0.8756,0
"LR",36,1963,13,13,,2.3939,2.3939,,3.1715,2.3939,3.4652,1.0714,1.0714,0
"LR",36,1963,14,14,,1.6467,1.6467,,2.5665,1.6467,2.9139,1.2672,1.2672,0
"LR",36,1963,15,15,,0.8996,0.8996,,1.9615,0.8996,2.3626,1.463,1.463,0
"LR",36,1964,16,16,,0.9485,0.9485,,1.5803,0.9485,1.8233,0.8748,0.8748,0
"LR",36,1964,17,17,,0.9973,0.9973,,1.2043,0.9973,1.2839,0.2866,0.2866,0
"LR",36,1964,18,18,,0.7446,0.7446,,0.8284,0.7446,1.0462,0.3017,0.3017,0
"LR",36,1964,19,19,,0.2052,0.2052,,0.4524,0.2052,1.0951,0.8899,0.8899,0
"LR",36,1965,20,20,,-0.3342,-0.3342,,0.0764,-0.3342,1.144,1.4781,1.4781,0
"LR",36,1965,21,21,,-0.8735,-0.8735,,-0.2995,-0.8735,1.1928,2.0664,2.0664,0
"LR",36,1965,22,22,,-1.4129,-1.4129,,-0.6755,-1.4129,1.2417,2.6546,2.6546,0
"LR",36,1965,23,23,,-1.9523,-1.9523,,-1.0515,-1.9523,1.2906,3.2428,3.2428,0
"LR",36,1966,24,24,,-2.4916,-2.4916,,-1.4274,-2.4916,1.3394,3.8311,3.8311,0
"LR",36,1966,25,25,,-3.031,-3.031,,-1.8034,-3.031,1.3883,4.4193,4.4193,0
"LR",36,1966,26,26,,-3.5703,-3.5703,,-2.1794,-3.5703,1.4372,5.0075,5.0075,0
"LR",36,1966,27,27,,-4.1097,-4.1097,,-2.5553,-4.1097,1.486,5.5958,5.5958,0
"LR",36,1967,28,28,,-3.6017,-3.6017,,-2.4305,-3.6017,0.9716,4.5733,4.5733,0
"LR",36,1967,29,29,,-3.0936,-3.0936,,-2.1843,-3.0936,0.4572,3.5508,3.5508,0
"LR",36,1967,30,30,,-2.5856,-2.5856,,-1.9381,-2.5856,-0.0572,2.5283,2.5283,0
"LR",36,1967,31,31,,-2.0775,-2.0775,,-1.6919,-2.0775,-0.5717,1.5059,1.5059,0
"LR",36,1968,32,32,,-1.5695,-1.5695,,-1.4457,-1.5695,-1.0861,0.4834,0.4834,0
"LR",36,1968,33,33,,-1.6005,-1.6005,,-1.1995,-1.6005,-1.0614,0.5391,0.5391,0
"LR",36,1968,34,34,,-2.1149,-2.1149,,-0.9533,-2.1149,-0.5534,1.5616,1.5616,0
"LR",36,1968,35,35,,-2.6293,-2.6293,,-0.7071,-2.6293,-0.0453,2.584,2.584,0
"LR",36,1969,36,36,,-3.1438,-3.1438,,-0.4609,-3.1438,0.4627,3.6065,3.6065,0
"LR",36,1969,37,37,,-3.6582,-3.6582,,-0.2147,-3.6582,0.9708,4.629,4.629,0
"LR",36,1969,38,38,,-4.1726,-4.1726,,0.0315,-4.1726,1.4788,5.6515,5.6515,0
"LR",36,1969,39,39,,-4.687,-4.687,,-0.0355,-4.687,1.9869,6.6739,6.6739,0
"LR",36,1970,40,40,,-4.4028,-4.4028,,0.2088,-4.4028,2.2139,6.6167,6.6167,0
"LR",36,1970,41,41,,-4.1186,-4.1186,,0.4531,-4.1186,2.4409,6.5594,6.5594,0
"LR",36,1970,42,42,,-3.8343,-3.8343,,0.6975,-3.8343,2.6678,6.5021,6.5021,0
"LR",36,1970,43,43,,-3.5501,-3.5501,,0.9418,-3.5501,2.8948,6.4449,6.4449,0
"LR",36,1971,44,44,,-3.2658,-3.2658,,1.1861,-3.2658,3.1218,6.3876,6.3876,0
"LR",36,1971,45,45,,-2.9816,-2.9816,,1.4305,-2.9816,3.3488,6.3304,6.3304,0
"LR",36,1971,46,46,,-2.6974,-2.6974,,3.5758,-2.6974,3.5758,6.2731,6.2731,0
"LR",36,1971,47,47,,-2.4131,-2.4131,,3.8027,-2.4131,3.8027,6.2158,6.2158,0
"LR",36,1972,48,48,,-2.1289,-2.1289,,4.0297,-2.1289,4.0297,6.1586,6.1586,0
